cityCode,市町村名,C_2011コミュニティバス運行2011年,C_2017コミュニティバス運行2017年,D_2011デマンド型交通運行2011年,D_2017デマンド型交通運行2017年,人口密度(人/km2),面積(km2),軽自動車率,15歳未満人口比率,高齢化率,自家用車利用率
29362,奈良県磯城郡三宅町,0,0,0,0,1958.095,4.06,0.511,0.103,0.329,0.49
29363,奈良県磯城郡田原本町,0,0,1,1,1680.5,21.09,0.505,0.129,0.29,0.493
29385,奈良県宇陀郡曽爾村,0,0,0,0,32.283,47.76,0.585,0.07,0.447,0.782
29386,奈良県宇陀郡御杖村,1,1,0,0,22.761,79.58,0.629,0.042,0.539,0.813
29401,奈良県高市郡高取町,0,0,0,0,292.851,25.79,0.515,0.102,0.362,0.571
29402,奈良県高市郡明日香村,1,1,0,1,232.381,24.1,0.558,0.095,0.366,0.61
29424,奈良県北葛城郡上牧町,0,0,0,0,4251.267,6.14,0.437,0.108,0.333,0.4
29425,奈良県北葛城郡王寺町,0,0,0,0,3076.748,7.01,0.388,0.135,0.264,0.31
29426,奈良県北葛城郡広陵町,0,1,0,0,2176.54,16.3,0.448,0.154,0.234,0.475
29427,奈良県北葛城郡河合町,0,1,0,0,2069.786,8.23,0.416,0.11,0.347,0.379
29441,奈良県吉野郡吉野町,1,1,0,1,78.146,95.65,0.553,0.064,0.458,0.714
29442,奈良県吉野郡大淀町,0,1,0,1,447.526,38.1,0.54,0.116,0.294,0.698
